date,category,commodity,commodity_id,unit,price,usdprice,calories (Kcal),protein (g),carbs (g),fat (g),iron (mg),cluster,PCA1,PCA2
2010-11-15,oil and fats,Ghee (artificial),106,KG,9.99,1.74,884,0.0,0.0,100.0,0.0,0,3.765091081714162,0.5228585973311403
2010-11-15,oil and fats,Ghee (natural),107,KG,35.0,6.09,883,0.0,0.0,99.8,0.0,0,4.072565823431274,1.3401870287023299
2010-11-15,oil and fats,Oil (maize),362,800 G,9.08,1.58,884,0.0,0.0,100.0,0.0,0,3.753632559437484,0.4927358541175671
2010-11-15,pulses and nuts,Lentils,108,KG,9.49,1.65,353,25.0,60.0,1.1,7.5,2,-2.6455909575561116,2.698401710735197
2010-11-15,vegetables and fruits,Onions (white),111,KG,2.36,0.41,40,1.1,9.0,0.1,0.2,1,-0.37821622594120796,-1.8887210184777499
2010-12-15,cereals and tubers,Pasta,112,KG,5.03,0.87,370,13.0,75.0,1.5,1.3,1,-1.0452630801051668,-0.8992033323674063
2010-12-15,cereals and tubers,Potatoes,83,KG,1.53,0.26,77,2.0,17.0,0.1,0.8,1,-0.6737389009297419,-1.564203322259602
2010-12-15,cereals and tubers,Rice,52,KG,3.9,0.67,360,7.0,80.0,0.6,0.8,1,-0.8724727607856789,-1.3239671265274275
2010-12-15,"meat, fish and eggs",Meat (beef),141,KG,55.57,9.6,250,26.0,0.0,15.0,2.6,3,-0.28938693429311296,3.145658773633232
2010-12-15,"meat, fish and eggs","Meat (chicken, frozen)",207,KG,13.05,2.25,239,27.0,0.0,14.0,1.3,3,-0.6837624189417477,1.5524523593853907
2010-12-15,miscellaneous food,Sugar,97,KG,6.19,1.07,387,0.0,100.0,0.0,0.1,4,-0.4907426260444186,-1.9743503385640682
2010-12-15,oil and fats,Ghee (natural),107,KG,35.27,6.09,883,0.0,0.0,99.8,0.0,0,4.072565823431274,1.3401870287023299
2010-12-15,oil and fats,Oil (maize),362,800 G,9.6,1.66,884,0.0,0.0,100.0,0.0,0,3.759361820575823,0.5077972257243537
2010-12-15,pulses and nuts,"Beans (fava, dry)",385,KG,6.9,1.19,341,26.0,58.0,1.5,6.7,2,-2.5873953489148906,2.5089038164226207
2010-12-15,pulses and nuts,Lentils,108,KG,9.47,1.64,353,25.0,60.0,1.1,7.5,2,-2.646307115198404,2.6965190392843486
2010-12-15,vegetables and fruits,Garlic,105,KG,12.94,2.23,149,6.4,33.0,0.5,1.7,1,-0.6517420467611054,-1.0559854446804056
2010-12-15,vegetables and fruits,Onions (red),110,KG,2.65,0.46,40,1.1,9.0,0.1,0.2,1,-0.37463543772974617,-1.8793076612235082
2011-01-15,cereals and tubers,Pasta,112,KG,5.01,0.86,370,13.0,75.0,1.5,1.3,1,-1.0459792377474593,-0.9010860038182547
2011-01-15,cereals and tubers,Potatoes,83,KG,1.42,0.25,77,2.0,17.0,0.1,0.8,1,-0.6744550585720342,-1.5660859937104503
2011-01-15,cereals and tubers,Wheat flour,58,KG,4.02,0.69,364,10.0,76.0,1.0,1.2,1,-0.9769593988415715,-1.0935765649224705
2011-01-15,"meat, fish and eggs",Meat (beef),141,KG,55.9,9.64,250,26.0,0.0,15.0,2.6,3,-0.2865223037239435,3.1531894594366254
2011-01-15,"meat, fish and eggs","Meat (chicken, frozen)",207,KG,13.27,2.29,239,27.0,0.0,14.0,1.3,3,-0.6808977883725783,1.559983045188784
2011-01-15,oil and fats,Ghee (natural),107,KG,35.6,6.14,883,0.0,0.0,99.8,0.0,0,4.076146611642736,1.3496003859565715
2011-01-15,oil and fats,Oil (maize),362,800 G,9.89,1.71,884,0.0,0.0,100.0,0.0,0,3.762942608787285,0.5172105829785953
2011-01-15,pulses and nuts,"Beans (fava, dry)",385,KG,7.49,1.29,341,26.0,58.0,1.5,6.7,2,-2.580233772491967,2.5277305309311036
2011-01-15,pulses and nuts,Lentils,108,KG,9.55,1.65,353,25.0,60.0,1.1,7.5,2,-2.6455909575561116,2.698401710735197
2011-01-15,vegetables and fruits,Garlic,105,KG,13.4,2.31,149,6.4,33.0,0.5,1.7,1,-0.6460127856227664,-1.0409240730736191
