date,category,commodity,commodity_id,unit,price,usdprice
2011-04-15,"meat, fish and eggs","Meat (chicken, frozen)",207,KG,13.05,2.19
2011-04-15,miscellaneous food,Sugar,97,KG,5.04,0.85
2011-04-15,oil and fats,Ghee (artificial),106,KG,11.9,2
2011-04-15,oil and fats,Ghee (natural),107,KG,36.62,6.14
2011-04-15,oil and fats,Oil (maize),362,800 G,11.17,1.87
2011-04-15,pulses and nuts,Lentils,108,KG,10.48,1.76
2011-04-15,vegetables and fruits,Garlic,105,KG,3.28,0.55
2011-04-15,vegetables and fruits,Onions (red),110,KG,3.04,0.51
2011-04-15,vegetables and fruits,Onions (white),111,KG,2.17,0.36
2011-04-15,vegetables and fruits,Tomatoes,114,KG,4.98,0.84
2011-05-15,cereals and tubers,Pasta,112,KG,4.1,0.69
2011-05-15,cereals and tubers,Rice,52,KG,4.2,0.71
2011-05-15,cereals and tubers,Wheat flour,58,KG,3.76,0.63
2011-05-15,"meat, fish and eggs",Meat (beef),141,KG,54.64,9.21
2011-05-15,"meat, fish and eggs","Meat (chicken, frozen)",207,KG,13.22,2.23
2011-05-15,miscellaneous food,Sugar,97,KG,5.06,0.85
2011-05-15,oil and fats,Ghee (artificial),106,KG,12.16,2.05
2011-05-15,oil and fats,Ghee (natural),107,KG,37.21,6.27
2011-05-15,oil and fats,Oil (maize),362,800 G,11.49,1.94
2011-05-15,pulses and nuts,"Beans (fava, dry)",385,KG,8.02,1.35
2011-05-15,pulses and nuts,Lentils,108,KG,10.54,1.78
2011-05-15,vegetables and fruits,Garlic,105,KG,3.85,0.65
2011-05-15,vegetables and fruits,Onions (red),110,KG,2.35,0.4
2011-05-15,vegetables and fruits,Onions (white),111,KG,1.89,0.32
2011-05-15,vegetables and fruits,Tomatoes,114,KG,3.77,0.64
2011-06-15,cereals and tubers,Potatoes,83,KG,2.09,0.35
2011-06-15,cereals and tubers,Rice,52,KG,4.39,0.74
2011-06-15,cereals and tubers,Wheat flour,58,KG,3.75,0.63
