date,category,commodity,commodity_id,unit,price,usdprice,calories (Kcal),protein (g),carbs (g),fat (g),iron (mg)
2011-01-15,cereals and tubers,Pasta,112,KG,5.01,0.86,370,13.0,75.0,1.5,1.3
2011-01-15,cereals and tubers,Potatoes,83,KG,1.42,0.25,77,2.0,17.0,0.1,0.8
2011-01-15,cereals and tubers,Wheat flour,58,KG,4.02,0.69,364,10.0,76.0,1.0,1.2
2011-01-15,"meat, fish and eggs",Meat (beef),141,KG,55.9,9.64,250,26.0,0.0,15.0,2.6
2011-01-15,"meat, fish and eggs","Meat (chicken, frozen)",207,KG,13.27,2.29,239,27.0,0.0,14.0,1.3
2011-01-15,oil and fats,Ghee (natural),107,KG,35.6,6.14,883,0.0,0.0,99.8,0.0
2011-01-15,oil and fats,Oil (maize),362,800 G,9.89,1.71,884,0.0,0.0,100.0,0.0
2011-01-15,pulses and nuts,"Beans (fava, dry)",385,KG,7.49,1.29,341,26.0,58.0,1.5,6.7
2011-01-15,pulses and nuts,Lentils,108,KG,9.55,1.65,353,25.0,60.0,1.1,7.5
2011-01-15,vegetables and fruits,Garlic,105,KG,13.4,2.31,149,6.4,33.0,0.5,1.7
2011-01-15,vegetables and fruits,Onions (red),110,KG,3.0,0.52,40,1.1,9.0,0.1,0.2
2011-02-15,cereals and tubers,Pasta,112,KG,5.05,0.86,370,13.0,75.0,1.5,1.3
2011-02-15,cereals and tubers,Potatoes,83,KG,1.4,0.24,77,2.0,17.0,0.1,0.8
2011-02-15,cereals and tubers,Wheat flour,58,KG,4.16,0.71,364,10.0,76.0,1.0,1.2
2011-02-15,miscellaneous food,Sugar,97,KG,5.72,0.97,387,0.0,100.0,0.0,0.1
2011-02-15,oil and fats,Ghee (artificial),106,KG,10.84,1.84,884,0.0,0.0,100.0,0.0
2011-02-15,oil and fats,Ghee (natural),107,KG,36.5,6.21,883,0.0,0.0,99.8,0.0
2011-02-15,oil and fats,Oil (maize),362,800 G,10.05,1.71,884,0.0,0.0,100.0,0.0
2011-02-15,vegetables and fruits,Onions (white),111,KG,2.1,0.36,40,1.1,9.0,0.1,0.2
2011-02-15,vegetables and fruits,Tomatoes,114,KG,1.75,0.3,18,0.9,3.9,0.2,0.3
2011-03-15,cereals and tubers,Pasta,112,KG,4.06,0.69,370,13.0,75.0,1.5,1.3
2011-03-15,cereals and tubers,Rice,52,KG,3.63,0.61,360,7.0,80.0,0.6,0.8
2011-03-15,"meat, fish and eggs","Meat (chicken, frozen)",207,KG,13.12,2.22,239,27.0,0.0,14.0,1.3
2011-03-15,miscellaneous food,Sugar,97,KG,4.99,0.84,387,0.0,100.0,0.0,0.1
2011-03-15,oil and fats,Ghee (artificial),106,KG,11.12,1.88,884,0.0,0.0,100.0,0.0
2011-03-15,pulses and nuts,"Beans (fava, dry)",385,KG,8.09,1.37,341,26.0,58.0,1.5,6.7
2011-03-15,vegetables and fruits,Onions (red),110,KG,2.9,0.49,40,1.1,9.0,0.1,0.2
2011-03-15,vegetables and fruits,Tomatoes,114,KG,3.52,0.59,18,0.9,3.9,0.2,0.3
2011-04-15,cereals and tubers,Pasta,112,KG,4.05,0.68,370,13.0,75.0,1.5,1.3
2011-04-15,cereals and tubers,Potatoes,83,KG,2.7,0.45,77,2.0,17.0,0.1,0.8
2011-04-15,"meat, fish and eggs",Meat (beef),141,KG,53.3,8.94,250,26.0,0.0,15.0,2.6
2011-04-15,"meat, fish and eggs","Meat (chicken, frozen)",207,KG,13.05,2.19,239,27.0,0.0,14.0,1.3
2011-04-15,miscellaneous food,Sugar,97,KG,5.04,0.85,387,0.0,100.0,0.0,0.1
2011-04-15,oil and fats,Ghee (artificial),106,KG,11.9,2.0,884,0.0,0.0,100.0,0.0
2011-04-15,oil and fats,Ghee (natural),107,KG,36.62,6.14,883,0.0,0.0,99.8,0.0
2011-04-15,oil and fats,Oil (maize),362,800 G,11.17,1.87,884,0.0,0.0,100.0,0.0
2011-04-15,pulses and nuts,Lentils,108,KG,10.48,1.76,353,25.0,60.0,1.1,7.5
2011-04-15,vegetables and fruits,Garlic,105,KG,3.28,0.55,149,6.4,33.0,0.5,1.7
2011-04-15,vegetables and fruits,Onions (red),110,KG,3.04,0.51,40,1.1,9.0,0.1,0.2
2011-04-15,vegetables and fruits,Onions (white),111,KG,2.17,0.36,40,1.1,9.0,0.1,0.2
2011-04-15,vegetables and fruits,Tomatoes,114,KG,4.98,0.84,18,0.9,3.9,0.2,0.3
2011-05-15,cereals and tubers,Pasta,112,KG,4.1,0.69,370,13.0,75.0,1.5,1.3
2011-05-15,cereals and tubers,Rice,52,KG,4.2,0.71,360,7.0,80.0,0.6,0.8
2011-05-15,cereals and tubers,Wheat flour,58,KG,3.76,0.63,364,10.0,76.0,1.0,1.2
2011-05-15,"meat, fish and eggs",Meat (beef),141,KG,54.64,9.21,250,26.0,0.0,15.0,2.6
2011-05-15,"meat, fish and eggs","Meat (chicken, frozen)",207,KG,13.22,2.23,239,27.0,0.0,14.0,1.3
2011-05-15,miscellaneous food,Sugar,97,KG,5.06,0.85,387,0.0,100.0,0.0,0.1
2011-05-15,oil and fats,Ghee (artificial),106,KG,12.16,2.05,884,0.0,0.0,100.0,0.0
2011-05-15,oil and fats,Ghee (natural),107,KG,37.21,6.27,883,0.0,0.0,99.8,0.0
2011-05-15,oil and fats,Oil (maize),362,800 G,11.49,1.94,884,0.0,0.0,100.0,0.0
2011-05-15,pulses and nuts,"Beans (fava, dry)",385,KG,8.02,1.35,341,26.0,58.0,1.5,6.7
2011-05-15,pulses and nuts,Lentils,108,KG,10.54,1.78,353,25.0,60.0,1.1,7.5
2011-05-15,vegetables and fruits,Garlic,105,KG,3.85,0.65,149,6.4,33.0,0.5,1.7
2011-05-15,vegetables and fruits,Onions (red),110,KG,2.35,0.4,40,1.1,9.0,0.1,0.2
2011-05-15,vegetables and fruits,Onions (white),111,KG,1.89,0.32,40,1.1,9.0,0.1,0.2
2011-05-15,vegetables and fruits,Tomatoes,114,KG,3.77,0.64,18,0.9,3.9,0.2,0.3
2011-06-15,cereals and tubers,Potatoes,83,KG,2.09,0.35,77,2.0,17.0,0.1,0.8
2011-06-15,cereals and tubers,Rice,52,KG,4.39,0.74,360,7.0,80.0,0.6,0.8
2011-06-15,cereals and tubers,Wheat flour,58,KG,3.75,0.63,364,10.0,76.0,1.0,1.2
2011-06-15,"meat, fish and eggs",Meat (beef),141,KG,53.88,9.07,250,26.0,0.0,15.0,2.6
2011-06-15,"meat, fish and eggs","Meat (chicken, frozen)",207,KG,12.89,2.17,239,27.0,0.0,14.0,1.3
2011-06-15,oil and fats,Ghee (artificial),106,KG,12.14,2.04,884,0.0,0.0,100.0,0.0
2011-06-15,oil and fats,Oil (maize),362,800 G,11.6,1.95,884,0.0,0.0,100.0,0.0
2011-06-15,pulses and nuts,Lentils,108,KG,10.73,1.81,353,25.0,60.0,1.1,7.5
2011-06-15,vegetables and fruits,Garlic,105,KG,5.83,0.98,149,6.4,33.0,0.5,1.7
2011-06-15,vegetables and fruits,Onions (red),110,KG,1.68,0.28,40,1.1,9.0,0.1,0.2
2011-06-15,vegetables and fruits,Onions (white),111,KG,1.62,0.27,40,1.1,9.0,0.1,0.2
2011-06-15,vegetables and fruits,Tomatoes,114,KG,2.55,0.43,18,0.9,3.9,0.2,0.3
2011-07-15,cereals and tubers,Pasta,112,KG,4.14,0.7,370,13.0,75.0,1.5,1.3
2011-07-15,cereals and tubers,Potatoes,83,KG,2.37,0.4,77,2.0,17.0,0.1,0.8
2011-07-15,cereals and tubers,Rice,52,KG,4.78,0.8,360,7.0,80.0,0.6,0.8
2011-07-15,cereals and tubers,Wheat flour,58,KG,3.81,0.64,364,10.0,76.0,1.0,1.2
2011-07-15,"meat, fish and eggs",Meat (beef),141,KG,54.96,9.24,250,26.0,0.0,15.0,2.6
2011-07-15,"meat, fish and eggs","Meat (chicken, frozen)",207,KG,13.28,2.23,239,27.0,0.0,14.0,1.3
2011-07-15,miscellaneous food,Sugar,97,KG,5.02,0.84,387,0.0,100.0,0.0,0.1
2011-07-15,oil and fats,Ghee (artificial),106,KG,12.16,2.04,884,0.0,0.0,100.0,0.0
2011-07-15,oil and fats,Ghee (natural),107,KG,38.0,6.39,883,0.0,0.0,99.8,0.0
2011-07-15,oil and fats,Oil (maize),362,800 G,11.59,1.95,884,0.0,0.0,100.0,0.0
2011-07-15,pulses and nuts,Lentils,108,KG,10.62,1.78,353,25.0,60.0,1.1,7.5
2011-07-15,vegetables and fruits,Garlic,105,KG,7.54,1.27,149,6.4,33.0,0.5,1.7
2011-07-15,vegetables and fruits,Onions (red),110,KG,1.62,0.27,40,1.1,9.0,0.1,0.2
2011-07-15,vegetables and fruits,Onions (white),111,KG,1.75,0.29,40,1.1,9.0,0.1,0.2
2011-07-15,vegetables and fruits,Tomatoes,114,KG,2.07,0.35,18,0.9,3.9,0.2,0.3
2011-08-15,cereals and tubers,Pasta,112,KG,4.16,0.7,370,13.0,75.0,1.5,1.3
2011-08-15,cereals and tubers,Potatoes,83,KG,2.85,0.48,77,2.0,17.0,0.1,0.8
2011-08-15,cereals and tubers,Rice,52,KG,5.32,0.89,360,7.0,80.0,0.6,0.8
2011-08-15,cereals and tubers,Wheat flour,58,KG,4.4,0.74,364,10.0,76.0,1.0,1.2
2011-08-15,"meat, fish and eggs",Meat (beef),141,KG,55.1,9.23,250,26.0,0.0,15.0,2.6
2011-08-15,"meat, fish and eggs","Meat (chicken, frozen)",207,KG,13.81,2.31,239,27.0,0.0,14.0,1.3
2011-08-15,miscellaneous food,Sugar,97,KG,5.45,0.91,387,0.0,100.0,0.0,0.1
2011-08-15,oil and fats,Ghee (artificial),106,KG,12.27,2.06,884,0.0,0.0,100.0,0.0
2011-08-15,oil and fats,Ghee (natural),107,KG,39.33,6.59,883,0.0,0.0,99.8,0.0
2011-08-15,oil and fats,Oil (maize),362,800 G,11.58,1.94,884,0.0,0.0,100.0,0.0
2011-08-15,vegetables and fruits,Garlic,105,KG,8.58,1.44,149,6.4,33.0,0.5,1.7
2011-08-15,vegetables and fruits,Onions (red),110,KG,1.9,0.32,40,1.1,9.0,0.1,0.2
2011-08-15,vegetables and fruits,Onions (white),111,KG,1.95,0.33,40,1.1,9.0,0.1,0.2
2011-08-15,vegetables and fruits,Tomatoes,114,KG,2.19,0.37,18,0.9,3.9,0.2,0.3
2011-09-15,cereals and tubers,Pasta,112,KG,4.4,0.74,370,13.0,75.0,1.5,1.3
2011-09-15,cereals and tubers,Potatoes,83,KG,3.3,0.55,77,2.0,17.0,0.1,0.8
2011-09-15,cereals and tubers,Rice,52,KG,5.5,0.92,360,7.0,80.0,0.6,0.8
2011-09-15,"meat, fish and eggs",Meat (beef),141,KG,57.2,9.61,250,26.0,0.0,15.0,2.6
